Date,Indonesia
2002-12-29,0.101
2003-01-05,0.039
2003-01-12,0.059
2003-01-19,0.039
2003-01-26,0.112
2003-02-02,0.049
2003-02-09,0.060
2003-02-16,0.039
2003-02-23,0.078
2003-03-02,0.048
2003-03-09,0.089
2003-03-16,0.080
2003-03-23,0.054
2003-03-30,0.071
2003-04-06,0.054
2003-04-13,0.088
2003-04-20,0.054
2003-04-27,0.081
2003-05-04,0.068
2003-05-11,0.048
2003-05-18,0.061
2003-05-25,0.062
2003-06-01,0.082
2003-06-08,0.069
2003-06-15,0.055
2003-06-22,0.055
2003-06-29,0.047
2003-07-06,0.100
2003-07-13,0.073
2003-07-20,0.047
2003-07-27,0.049
2003-08-03,0.039
2003-08-10,0.039
2003-08-17,0.039
2003-08-24,0.064
2003-08-31,0.055
2003-09-07,0.047
2003-09-14,0.047
2003-09-21,0.063
2003-09-28,0.054
2003-10-05,0.069
2003-10-12,0.075
2003-10-19,0.068
2003-10-26,0.076
2003-11-02,0.075
2003-11-09,0.060
2003-11-16,0.047
2003-11-23,0.055
2003-11-30,0.068
2003-12-07,0.058
2003-12-14,0.045
2003-12-21,0.055
2003-12-28,0.039
2004-01-04,0.065
2004-01-11,0.090
2004-01-18,0.039
2004-01-25,0.065
2004-02-01,0.058
2004-02-08,0.122
2004-02-15,0.295
2004-02-22,0.690
2004-02-29,1.000
2004-03-07,0.800
2004-03-14,0.521
2004-03-21,0.424
2004-03-28,0.205
2004-04-04,0.262
2004-04-11,0.212
2004-04-18,0.186
2004-04-25,0.151
2004-05-02,0.142
2004-05-09,0.127
2004-05-16,0.139
2004-05-23,0.098
2004-05-30,0.082
2004-06-06,0.084
2004-06-13,0.076
2004-06-20,0.104
2004-06-27,0.091
2004-07-04,0.068
2004-07-11,0.111
2004-07-18,0.066
2004-07-25,0.087
2004-08-01,0.077
2004-08-08,0.075
2004-08-15,0.078
2004-08-22,0.106
2004-08-29,0.083
2004-09-05,0.077
2004-09-12,0.072
2004-09-19,0.062
2004-09-26,0.079
2004-10-03,0.082
2004-10-10,0.071
2004-10-17,0.115
2004-10-24,0.078
2004-10-31,0.066
2004-11-07,0.067
2004-11-14,0.084
2004-11-21,0.090
2004-11-28,0.160
2004-12-05,0.097
2004-12-12,0.112
2004-12-19,0.093
2004-12-26,0.072
2005-01-02,0.113
2005-01-09,0.079
2005-01-16,0.104
2005-01-23,0.171
2005-01-30,0.206
2005-02-06,0.328
2005-02-13,0.390
2005-02-20,0.278
2005-02-27,0.177
2005-03-06,0.211
2005-03-13,0.174
2005-03-20,0.159
2005-03-27,0.181
2005-04-03,0.132
2005-04-10,0.176
2005-04-17,0.135
2005-04-24,0.124
2005-05-01,0.129
2005-05-08,0.139
2005-05-15,0.098
2005-05-22,0.101
2005-05-29,0.110
2005-06-05,0.098
2005-06-12,0.070
2005-06-19,0.072
2005-06-26,0.086
2005-07-03,0.100
2005-07-10,0.093
2005-07-17,0.111
2005-07-24,0.103
2005-07-31,0.103
2005-08-07,0.152
2005-08-14,0.200
2005-08-21,0.219
2005-08-28,0.188
2005-09-04,0.157
2005-09-11,0.124
2005-09-18,0.151
2005-09-25,0.135
2005-10-02,0.116
2005-10-09,0.168
2005-10-16,0.277
2005-10-23,0.168
2005-10-30,0.154
2005-11-06,0.144
2005-11-13,0.214
2005-11-20,0.207
2005-11-27,0.288
2005-12-04,0.307
2005-12-11,0.377
2005-12-18,0.452
2005-12-25,0.430
2006-01-01,0.386
2006-01-08,0.293
2006-01-15,0.248
2006-01-22,0.259
2006-01-29,0.273
2006-02-05,0.221
2006-02-12,0.201
2006-02-19,0.244
2006-02-26,0.235
2006-03-05,0.236
2006-03-12,0.203
2006-03-19,0.247
2006-03-26,0.274
2006-04-02,0.231
2006-04-09,0.207
2006-04-16,0.257
2006-04-23,0.266
2006-04-30,0.245
2006-05-07,0.201
2006-05-14,0.210
2006-05-21,0.220
2006-05-28,0.176
2006-06-04,0.173
2006-06-11,0.167
2006-06-18,0.181
2006-06-25,0.225
2006-07-02,0.180
2006-07-09,0.153
2006-07-16,0.148
2006-07-23,0.185
2006-07-30,0.230
2006-08-06,0.172
2006-08-13,0.132
2006-08-20,0.169
